pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1,208,26,26010,434370,123280,NA,W,10720,17,NA,2,1,8,4,1,1,1,5,1,1,3,3,1,2,1,2,2,5,2,1,2,0,4359,2,1,2,NA,NA,NA,NORRIDGE,60706,3473,0.8704290238986467,0.00460696803915922,0.05211632594298877,0.06622516556291391,0.00978980708321336,53377,Norridge,0,0,1,0,0,0,SCHOOL DISTRICT  80,COMMUNITY HIGH SCHOOL  234,7.539,60000,TRUE,TRUE,TRUE
2,211,77,77091,66430,37010,NA,W,3150,114,2,3,1,7,3,2,3,1,5,2,0,1,2,0,2,2,2,2,3,1,2,2,0,1848,2,2,2,3,NA,NA,CHICAGO,60623,3746,0,0.9965296316070476,0.00347036839295248,0,0,14000,Chicago,0,0,1,0,0,0,"HUGHES, C",MANLEY HS,6.913,28226,FALSE,TRUE,TRUE
3,211,72,72091,34170,19500,NA,W,3000,132,2,1,1,5,3,2,3,1,5,2,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,1360,2,2,2,NA,NA,NA,CHICAGO,60609,2326,0.06878761822871883,0.15520206362854683,0,0.765262252794497,0.02149613069647463,14000,Chicago,0,0,1,0,0,0,HAMLINE,RICHARDS HS,6.89,25464,FALSE,FALSE,TRUE
4,234,32,32160,97950,29400,NA,O,8400,49,NA,1,1,9,3,3,1,1,5,1,0,3,2,1,2,2,2,2,3,1,2,2,0,1807,2,1,4,NA,NA,NA,MATTESON,60443,6900,0.06971014492753623,0.8339130434782609,0.02405797101449275,0.04985507246376811,0.04492753623188406,47540,Matteson,0,0,1,0,0,0,SCHOOL DISTRICT 159,RICH TOWNSHIP HIGH SCHOOL  227,18.737,85750,FALSE,TRUE,TRUE
5,234,22,22080,225820,53590,NA,W,6916,64,NA,2,1,6,3,3,1,1,5,1,0,3,1,0,2,1,2,2,3,1,2,2,0,1138,2,1,4,NA,NA,NA,NILES,60714,5040,0.7507936507936508,0.0246031746031746,0.14662698412698413,0.06805555555555555,0.01964285714285714,53000,Niles,0,0,1,0,0,0,SCHOOL DISTRICT  63,MAINE TOWNSHIP HIGH SCHOOL  207,8.253,71044,FALSE,TRUE,TRUE
6,203,29,29060,179770,37800,NA,W,10800,74,NA,3,1,6,3,1,3,1,5,1,0,2,1,1,2,2,2,2,3,1,2,2,0,1428,2,1,5,1,NA,NA,PALATINE,60074,4559,0.8017109015134898,0.02039921035314762,0.05878482123272648,0.0993638955911384,0.03750822548804562,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,84615,FALSE,TRUE,TRUE
7,203,37,37181,72650,18600,NA,W,4960,78,NA,1,1,5,2,1,3,1,5,2,0,1,1,0,2,NA,2,2,3,1,2,2,0,1080,2,1,5,1,NA,NA,LANSING,60438,4816,0.5371677740863787,0.29485049833887045,0.01474252491694352,0.1532392026578073,0,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,54940,FALSE,TRUE,TRUE
8,203,72,72193,140270,36120,NA,W,4250,62,NA,2,1,5,3,1,3,1,5,1,0,1,1,0,NA,NA,2,2,3,1,2,2,0,1095,2,1,1,3,NA,NA,CHICAGO,60652,5899,0.21766401084929649,0.1885065265299203,8.476012883539584e-4,0.590778097982709,0.00440752669944058,14000,Chicago,0,0,1,0,0,0,DURKIN PARK,BOGAN HS,6.949,68488,FALSE,TRUE,TRUE
9,203,37,37053,91890,25460,NA,W,5360,42,NA,2,1,6,3,1,3,1,5,1,0,3,1,1,2,NA,2,2,3,1,2,2,0,1323,2,1,1,NA,NA,NA,CALUMET CITY,60409,6173,0.0212214482423457,0.8778551757654302,0,0.09120362870565366,0.01619957881095091,10487,Calumet City,0,0,6,1,0,0,SCHOOL DISTRICT 155,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,26.203,44242,FALSE,TRUE,TRUE
10,203,76,76030,186600,143000,NA,T,3250,36,NA,2,1,5,3,1,1,1,5,1,0,3,2,0,2,2,2,2,3,1,2,2,0,1170,2,1,1,NA,NA,NA,CHICAGO,60616,4413,0.20938137321549968,0.01495581237253569,0.6236120552911851,0.1497847269431226,0.00453206435531384,14000,Chicago,0,0,1,0,0,0,HEALY,TILDEN HS,6.89,34127,FALSE,TRUE,TRUE
